Module,Offered,Group,Language,Activity,Day,Time,Venue,Campus,Study Prog
EMZ310,S1,G01,E,T1,Friday,08:30 - 09:20,Eng I 1-1,HATFIELD,E3Z3
EMZ320,S2,G01,E,L1,Monday,11:30 - 12:20,Eng I 1-4,HATFIELD,Z3
EMZ320,S2,G01,E,L2,Wednesday,07:30 - 08:20,Eng I 1-1,HATFIELD,Z3
EMZ320,S2,G01,E,L3,Thursday,09:30 - 10:20,Eng I 1-1,HATFIELD,Z3
EMZ320,S2,G01,E,P1,Wednesday,10:30 - 13:20,Eng III - Net Lab A,HATFIELD,Z3
EMZ320,S2,G01,E,P1,Wednesday,10:30 - 13:20,Eng III - Net Lab B,HATFIELD,Z3
EMZ320,S2,G01,E,P1,Wednesday,10:30 - 13:20,Eng III - Net Lab C,HATFIELD,Z3
EMZ320,S2,G01,E,T1,Wednesday,08:30 - 09:20,Eng I 1-1,HATFIELD,Z3
ENE310,S1,G01,E,L1,Monday,09:30 - 10:20,Muller hall,HATFIELD,E3R3Z3
ENE310,S1,G01,E,L2,Tuesday,12:30 - 13:20,AE Annex,HATFIELD,E3R3Z3
ENE310,S1,G01,E,L3,Wednesday,11:30 - 12:20,Muller hall,HATFIELD,E3R3Z3
ENE310,S1,G01,E,P1,Tuesday,14:30 - 17:20,Eng III - Electronic Lab A,HATFIELD,E3R3Z3
ENE310,S1,G01,E,P1,Tuesday,14:30 - 17:20,Eng III - Electronic Lab B,HATFIELD,E3R3Z3
ENE310,S1,G01,E,P1,Tuesday,14:30 - 17:20,Eng III - Electronic Lab C,HATFIELD,E3R3Z3
ENE310,S1,G01,E,P1,Tuesday,14:30 - 17:20,North hall,HATFIELD,E3R3Z3
ENE310,S1,G01,E,T1,Friday,12:30 - 13:20,Muller hall,HATFIELD,E3R3Z3
ENE410,S1,G01,E,L1,Monday,11:30 - 13:20,Eng I 1-3,HATFIELD,Z4
ENE410,S1,G01,E,L2,Tuesday,09:30 - 10:20,Eng I 1-3,HATFIELD,Z4
ENE410,S1,G01,E,P1,Thursday,10:30 - 13:20,Eng III - Electronic Lab A,HATFIELD,Z4
ENE410,S1,G01,E,P1,Thursday,10:30 - 13:20,Eng III - Electronic Lab C,HATFIELD,Z4
ENE410,S1,G01,E,T1,Friday,10:30 - 11:20,Eng I 1-4,HATFIELD,Z4
ENG110,S1,G01,E,L1,Monday,15:30 - 16:20,Thuto 1-1,HATFIELD,
ENG110,S1,G01,E,L2,Wednesday,11:30 - 12:20,Thuto 1-1,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,Agric Annex 2-7,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,Agric Annex 2-9,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 1-12,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 4-12,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 4-13,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 4-14,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 4-15,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 4-6,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 4-7,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,HB 4-9,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,IT 4-2,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,Law building 1-31,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,Theology 1-25,HATFIELD,
ENG110,S1,G01,E,L3,Thursday,10:30 - 11:20,Theology 1-28,HATFIELD,
